close_time,commission,current_price,entry_price,exit_price,exit_reason,gross_profit,open_time,pips,profit,requested_price,status,stop_loss,symbol,take_profit,type,volume
2026-06-17 00:45:00,0.07,160.449,160.363,160.449,TAKE_PROFIT,0.5528875516725666,2026-06-17 00:05:00,8.6,0.48,160.359,CLOSED,160.403,USDJPY,160.449,BUY,0.01
2026-06-17 22:10:00,0.07,6.77252,6.76888,6.77252,STOP_LOSS,-0.542770785213353,2026-06-17 22:05:00,-36.4,-0.61,6.7689,CLOSED,6.77252,USDCNH,6.76167,SELL,0.01
2026-06-18 01:05:00,0.07,6.77495,6.77844,6.77495,MAX_HOLD,0.5204038572513155,2026-06-17 23:05:00,0.0,0.45,6.77846,CLOSED,6.77516,USDCNH,6.77288,SELL,0.01
2026-06-19 01:05:00,0.14,6.77772,6.77809,6.77772,MAX_HOLD,0.11034351127943759,2026-06-18 23:05:00,0.0,-0.03,6.77811,CLOSED,6.77928,USDCNH,6.77577,SELL,0.02
2026-06-19 23:35:00,0.21,6.78269,6.78187,6.78269,STOP_LOSS,-0.3668176185782878,2026-06-19 23:10:00,-8.2,-0.58,6.78189,CLOSED,6.78269,USDCNH,6.78028,SELL,0.03
2026-06-19 23:45:00,0.14,6.7832,6.78212,6.7832,STOP_LOSS,-0.3220837626540805,2026-06-19 23:40:00,-10.8,-0.46,6.78214,CLOSED,6.7832,USDCNH,6.78002,SELL,0.02
2026-06-22 00:15:00,0.14,6.78296,6.78344,6.78296,STOP_LOSS,0.1431483389572514,2026-06-19 23:50:00,4.8,0.0,6.78346,CLOSED,6.78296,USDCNH,6.78114,SELL,0.02
2026-06-22 02:05:00,0.07,1.14641,1.14622,1.14641,MAX_HOLD,0.18999999999991246,2026-06-22 00:05:00,0.0,0.12,1.14618,CLOSED,1.14548,EURUSD,1.14759,BUY,0.01
2026-06-23 00:00:00,0.28,6.77863,6.7781,6.77863,STOP_LOSS,-0.3161192485305527,2026-06-22 23:05:00,-5.3,-0.6,6.77812,CLOSED,6.77863,USDCNH,6.77711,SELL,0.04
2026-06-23 00:00:00,0.07,1.32549,1.32504,1.32549,STOP_LOSS,-0.45000000000006146,2026-06-22 23:15:00,-4.5,-0.52,1.32506,CLOSED,1.32549,GBPUSD,1.32421,SELL,0.01
2026-06-23 23:55:00,0.21,6.79476,6.79524,6.79476,STOP_LOSS,0.2147225084358771,2026-06-23 23:05:00,4.8,0.0,6.79526,CLOSED,6.79476,USDCNH,6.79395,SELL,0.03
2026-06-24 00:00:00,0.07,1.31932,1.32005,1.31932,TAKE_PROFIT,0.7299999999998974,2026-06-23 23:20:00,7.3,0.66,1.32007,CLOSED,1.32044,GBPUSD,1.31932,SELL,0.01
2026-06-24 00:45:00,0.07,1.32035,1.31927,1.32035,TAKE_PROFIT,1.0799999999999699,2026-06-24 00:05:00,10.8,1.01,1.31924,CLOSED,1.31988,GBPUSD,1.32035,BUY,0.01
2026-06-24 23:10:00,0.21,6.81401,6.81449,6.81401,STOP_LOSS,0.2147225084362744,2026-06-24 22:20:00,4.8,0.0,6.81451,CLOSED,6.81401,USDCNH,6.81272,SELL,0.03
2026-06-24 23:30:00,0.21,6.8134,6.81388,6.8134,STOP_LOSS,0.2147225084362744,2026-06-24 23:15:00,4.8,0.0,6.8139,CLOSED,6.8134,USDCNH,6.81238,SELL,0.03
2026-06-24 23:45:00,0.21,6.8139,6.8132,6.8139,STOP_LOSS,-0.3131369914693185,2026-06-24 23:35:00,-7.0,-0.52,6.81322,CLOSED,6.8139,USDCNH,6.81186,SELL,0.03
2026-06-25 00:00:00,0.28,6.81238,6.81366,6.81238,TAKE_PROFIT,0.7634578077723606,2026-06-24 23:50:00,12.8,0.48,6.81368,CLOSED,6.81318,USDCNH,6.81238,SELL,0.04
2026-06-25 00:00:00,0.14,161.749,161.817,161.749,TAKE_PROFIT,0.8743338026450146,2026-06-24 23:15:00,6.8,0.73,161.819,CLOSED,161.805,USDJPY,161.749,SELL,0.02
2026-06-26 00:00:00,0.21,6.79981,6.80182,6.79981,TAKE_PROFIT,0.8991505040761293,2026-06-25 22:45:00,20.1,0.69,6.80184,CLOSED,6.80285,USDCNH,6.79981,SELL,0.03
2026-06-26 22:20:00,0.21,6.80386,6.80317,6.80386,STOP_LOSS,-0.30866360587707,2026-06-26 22:05:00,-6.9,-0.52,6.80319,CLOSED,6.80386,USDCNH,6.80186,SELL,0.03
2026-06-26 23:10:00,0.28,6.80234,6.80357,6.80234,TAKE_PROFIT,0.7336352371563107,2026-06-26 22:25:00,12.3,0.45,6.80359,CLOSED,6.80305,USDCNH,6.80234,SELL,0.04
2026-06-26 23:30:00,0.28,6.80282,6.80225,6.80282,STOP_LOSS,-0.3399773050236045,2026-06-26 23:15:00,-5.7,-0.62,6.80227,CLOSED,6.80282,USDCNH,6.80116,SELL,0.04
2026-06-26 23:50:00,0.28,6.80452,6.80385,6.80452,STOP_LOSS,-0.39962244625623405,2026-06-26 23:35:00,-6.7,-0.68,6.80387,CLOSED,6.80452,USDCNH,6.80256,SELL,0.04
2026-06-29 00:30:00,0.14,161.744,161.756,161.744,STOP_LOSS,0.15429420046674577,2026-06-26 23:05:00,1.2,0.01,161.758,CLOSED,161.744,USDJPY,161.693,SELL,0.02
2026-06-29 02:30:00,0.07,1.13823,1.13815,1.13823,STOP_LOSS,0.08000000000008001,2026-06-29 00:45:00,0.8,0.01,1.13811,CLOSED,1.13823,EURUSD,1.13941,BUY,0.01
2026-06-29 23:10:00,0.28,6.80008,6.79947,6.80008,STOP_LOSS,-0.3638353615166563,2026-06-29 23:05:00,-6.1,-0.64,6.7994900000000005,CLOSED,6.80008,USDCNH,6.79831,SELL,0.04
2026-06-29 23:20:00,0.28,6.80092,6.80028,6.80092,STOP_LOSS,-0.3817289038861803,2026-06-29 23:15:00,-6.4,-0.66,6.8003,CLOSED,6.80092,USDCNH,6.79907,SELL,0.04
2026-06-29 23:45:00,0.28,6.80151,6.80087,6.80151,STOP_LOSS,-0.38172890388671005,2026-06-29 23:25:00,-6.4,-0.66,6.80089,CLOSED,6.80151,USDCNH,6.79965,SELL,0.04
2026-06-30 00:00:00,0.28,6.79957,6.80083,6.79957,TAKE_PROFIT,0.7515287795263644,2026-06-29 23:50:00,12.6,0.47,6.80085,CLOSED,6.80149,USDCNH,6.79957,SELL,0.04
2026-06-30 00:00:00,0.07,1.32557,1.32608,1.32557,TAKE_PROFIT,0.5100000000000104,2026-06-29 23:15:00,5.1,0.44,1.3261,CLOSED,1.326,GBPUSD,1.32557,SELL,0.01
